id,title,type,priority,estimate,owner,epic,dependencies,labels,milestone,description,acceptance_criteria,technical_notes
SG-011,"Background Service Worker 架构","Feature","P0","5","FE","E2","SG-010","area:plugin, type:feature, m:alpha","Alpha","搭建 Background SW 核心：消息路由、Tab 注册表、生命周期管理（休眠处理）。","- [ ] `background/index.ts` 入口 - [ ] `background/router.ts` 类型化消息路由 - [ ] `background/registry.ts` Tab 状态注册表 - [ ] `background/alarms.ts` chrome.alarms 封装 - [ ] `chrome.runtime.onInstalled` / `onStartup` 处理 - [ ] 关键状态写入 storage，不依赖内存 - [ ] E2E 测试：发送消息 → 路由 → 响应正确","参考 TDD §3.1.1 + §6.2。"
SG-012,"Content Script 注入框架","Feature","P0","5","FE","E2","SG-011","area:plugin, type:feature, m:alpha","Alpha","实现 Content Script 框架：URL 匹配 → 注入用户脚本 → 错误捕获 → 上报。","- [ ] Content Script 在 `document_start` 注入 - [ ] 错误捕获脚本 `< 1KB`（error + unhandledrejection） - [ ] ISOLATED world 与 MAIN world 通信 - [ ] 注入用户脚本超时保护（默认 10s 可配置） - [ ] 通过 `chrome.runtime.sendMessage` 获取当前 URL 匹配脚本 - [ ] 注入完成后上报 `{ status, failedRules, error }`","参考 TDD §3.1.2 + §9.4 错误隔离。"
SG-013,"脚本匹配引擎","Feature","P0","3","FE","E2","SG-011","area:plugin, type:feature, m:alpha","Alpha","实现 URL 匹配引擎：通配符、正则、域名匹配。","- [ ] `matcher/index.ts` 导出 `matchScript(url, rules)` 函数 - [ ] 支持通配符 `*` 和 `?` - [ ] 支持正则 `/pattern/` - [ ] 支持纯域名 `example.com` - [ ] 支持 Tampermonkey `@match` 语法（简化版） - [ ] 100 个匹配规则 < 5ms 完成匹配 - [ ] 单元测试覆盖率 100%",""
SG-014,"脚本 CRUD（本地）","Feature","P0","5","FE","E2","SG-010, SG-013","area:plugin, type:feature, m:alpha","Alpha","实现脚本元数据的本地 CRUD：创建、读取、更新、删除、启用、禁用、分组、标签。","- [ ] `store/scripts.ts`","参考 TDD §6.1 客户端 Store。"
SG-015,"用户脚本注入与执行","Feature","P0","5","FE","E2","SG-012, SG-014","area:plugin, type:feature, m:alpha","Alpha","Content Script 获取匹配的脚本后，按 `runAt` 时机注入到目标页面。","- [ ] 支持 `document_start` / `document_idle` / `document_end` / `manual` 四种时机 - [ ] 注入方式：`page.evaluate` 或 `chrome.scripting.executeScript` - [ ] 注入超时保护 - [ ] 注入失败时记录错误日志 - [ ] 注入成功时记录开始时间 - [ ] 执行完成后自动运行关联规则",""
SG-016,"规则执行器接口与基类","Feature","P0","3","FE","E2","SG-015","area:plugin, type:feature, m:alpha","Alpha","定义规则执行器接口 `RuleExecutor`、执行上下文 `ExecutionContext`、结果 `RuleResult`。","- [ ] `rules/types.ts` 定义所有接口 - [ ] `rules/base.ts` 提供 `BaseExecutor` 抽象类 - [ ] `rules/registry.ts` 维护 type → executor 映射 - [ ] 单元测试覆盖接口契约 - [ ] JSDoc 完整","参考 TDD §3.2.1 执行器接口定义。"
SG-017,"6 类规则执行器（MVP 子集）","Feature","P0","8","FE","E2","SG-016","area:plugin, type:feature, m:alpha","Alpha","实现 MVP 必做的 6 类规则执行器：`selector_exists`、`selector_visible`、`selector_text`、`js_assertion`、`console_clean`、`duration`。","- [ ] 6 个执行器实现完整 - [ ] 每个执行器单元测试覆盖率 ≥ 90% - [ ] 性能：单规则 < 100ms - [ ] 错误信息友好 - [ ] 集成测试：综合场景","MVP 阶段先实现 6 类，剩余 `selector_clickable` / `selector_inputable` / `url_match` / `network_status` 放到 v1.5（SG-051）。"
SG-018,"Popup 页面 MVP","Feature","P0","5","FE","E2","SG-014, SG-011","area:popup, type:feature, m:alpha","Alpha","实现 Popup 页面（W1）：当前 URL、匹配脚本列表、状态、立即测试、打开后台。","- [ ] 380×500px 固定窗口 - [ ] 当前 URL 显示（域名 + 路径截断） - [ ] 匹配脚本列表（状态 + 版本 + 时间） - [ ] ""立即测试"" 按钮触发手动测试 - [ ] ""打开后台"" 跳转到 Options 页 - [ ] 首屏 < 500ms - [ ] 离线可用","参考 Wireframes W1。"
SG-019,"页面内失效浮层","Feature","P0","8","FE + DS","E3","SG-012, SG-017","area:overlay, type:feature, m:alpha","Alpha","实现页面内失效浮层（W11）：成功/降级/失败/展开 4 种状态。","- [ ] 浮层在目标页右上角，z-index 最高 - [ ] 4 种状态视觉区分（颜色 + 图标） - [ ] 失败时常驻 + 微抖动动画 - [ ] 成功 3s 后自动收起 - [ ] 拖拽到任意位置（位置持久化） - [ ] ESC 关闭，方向键切换多个浮层 - [ ] 点击""详情""打开 Options 详情页","参考 Wireframes W11 全部状态。"
SG-020,"浏览器桌面通知","Feature","P0","3","FE","E4","SG-019","area:notify, type:feature, m:alpha","Alpha","实现 `chrome.notifications` 桌面通知，含失败通知与恢复通知。","- [ ] 失败时发送桌面通知（含脚本名、原因、链接） - [ ] 恢复时发送""已恢复""通知 - [ ] 点击通知跳转到 Options 详情页 - [ ] 用户可在设置中关闭 - [ ] 通知包含图标（128x128）",""
SG-021,"手动测试功能","Feature","P0","5","FE","E4","SG-017, SG-018","area:plugin, type:feature, m:alpha","Alpha","实现""立即测试""功能：手动触发当前页面的健康检查，立即返回结果。","- [ ] Popup 立即测试按钮可用 - [ ] 后台执行规则，实时显示进度 - [ ] 完成后显示结果摘要（通过/失败/规则详情） - [ ] 失败时自动弹出浮层 - [ ] 测试记录写入 IndexedDB",""
SG-022,"本地运行日志","Feature","P0","5","FE","E4","SG-010, SG-021","area:plugin, type:feature, m:alpha","Alpha","","- [ ] `db.checks` 写入 CheckRecord - [ ] Options 页""日志"" Tab 展示列表 - [ ] 支持按脚本、时间、状态筛选 - [ ] 失败日志可查看 DOM 快照 - [ ] 30 天自动清理 - [ ] 导出 CSV","参考 TDD §4.1.2 Dexie Schema。"
SG-023,"chrome.alarms 本地定时检测","Feature","P1","5","FE","E4","SG-021, SG-011","area:plugin, type:feature, m:alpha","Alpha","实现本地定时检测：`chrome.alarms` 按用户设定的频率静默打开后台标签页测试。","- [ ] 每个脚本可配置 `checkInterval`（秒） - [ ] `chrome.alarms` 注册 `check:<scriptId>` 定时器 - [ ] 定时到点时打开后台标签页（无痕），注入并执行 - [ ] 完成后关闭标签页，释放资源 - [ ] 失败时走通知策略 - [ ] SW 休眠后 alarms 仍能触发",""
SG-024,"Options 页面骨架","Feature","P0","8","FE","E4","SG-018","area:options, type:feature, m:alpha","Alpha","实现 Options 后台骨架（W2/W3）：侧边栏、路由、布局、Header。","- [ ] React Router 6 路由配置 - [ ] 侧边栏 7 个 Tab：概览 / 脚本 / 测试 / 告警 / 日志 / 设置 / 关于 - [ ] Header 含搜索、通知、用户头像 - [ ] 总览页（W2）显示统计卡 + 环形图 + 趋势图 - [ ] 响应式：平板 2 列、桌面 3-4 列 - [ ] 暗色模式","参考 Wireframes W2 完整设计。"
SG-025,"脚本列表与详情","Feature","P0","8","FE","E4","SG-024, SG-014","area:options, type:feature, m:alpha","Alpha","实现脚本列表（W3）+ 详情页（W6）的基础版本。","- [ ] 列表页：状态卡 + 筛选 + 搜索 - [ ] 详情页：基本信息 + 趋势图（30 天） - [ ] ""编辑"" 跳转到编辑器 - [ ] ""立即测试"" 触发测试 - [ ] ""删除"" 二级确认 - [ ] 批量操作：启用/禁用/删除/导出","参考 Wireframes W3 + W6。"
SG-026,"脚本编辑器 MVP","Feature","P0","8","FE","E4","SG-025","area:options, type:feature, m:alpha","Alpha","实现脚本编辑器（W4）：基本信息和 Monaco 代码编辑。","- [ ] 基本信息表单（名称、版本、URL、运行时机、超时） - [ ] Monaco Editor 集成（JS/TS 高亮） - [ ] Tabs：代码 / 配置 / 版本 / 历史 - [ ] ⌘S 保存，弹 changelog - [ ] 5 秒自动保存草稿 - [ ] 保存前 checklist（规则、lint、测试）","参考 Wireframes W4。"
SG-027,"健康检查规则配置 UI","Feature","P0","8","FE + DS","E4","SG-025, SG-017","area:options, type:feature, m:alpha","Alpha","实现健康检查规则配置 UI（W5）：规则列表、表单、添加、删除、排序。","- [ ] 规则列表（拖拽排序） - [ ] 6 类规则的可视化配置表单 - [ ] ""在页面上选择"" 按钮触发 W14 - [ ] ""全部测试"" 按钮 - [ ] 组合逻辑选择（AND/OR） - [ ] 超时配置 - [ ] 必需/可选切换","参考 Wireframes W5 + W14。"
SG-028,"Fastify 路由与 Zod 校验","Feature","P0","5","BE","E5","SG-003, SG-009","area:server, type:feature, m:beta","Beta","搭建 Fastify 路由结构 +","- [ ] `/v1/scripts` 等 30+ 端点的","参考 TDD §5.2 REST API 完整端点表。"
SG-029,"认证与 JWT","Feature","P0","5","BE","E5","SG-028, SG-009","area:server, type:feature, m:beta","Beta","实现邮箱密码注册登录 + JWT 颁发与校验。","- [ ] `POST /v1/auth/register` 注册 - [ ] `POST /v1/auth/login` 登录返回 JWT - [ ] `POST /v1/auth/refresh` 刷新 token - [ ] `POST /v1/auth/logout` 登出 - [ ] bcrypt 哈希密码（cost 12） - [ ] JWT 包含 userId / plan / exp - [ ] Fastify hook 校验所有受保护端点 - [ ] 速率限制（5 次/分钟/IP）",""
SG-030,"脚本云端 CRUD API","Feature","P0","5","BE","E5","SG-028, SG-029","area:server, type:feature, m:beta","Beta","","- [ ] 实现 TDD §5.2.1 的 8 个端点 - [ ] 团队空间支持（team_id 关联） - [ ] 分页（cursor-based） - [ ] 软删除（`deletedAt`） - [ ] 集成测试",""
SG-031,"同步协议（增量同步 + 冲突解决）","Feature","P0","8","FS","E5","SG-010, SG-030","area:server, area:plugin, type:feature, m:beta","Beta","实现客户端 ↔ 云端的双向同步协议：增量推送、增量拉取、冲突检测与解决。","- [ ] `POST /v1/sync/push` 推送本地变更 - [ ] `POST /v1/sync/pull` 拉取云端变更（基于 lastSyncAt） - [ ] 冲突返回 `conflicts[]` 数组 - [ ] 客户端弹冲突解决弹窗 - [ ] last-write-wins 默认策略 - [ ] E2E 测试双向同步","参考 TDD §4.3 同步协议。"
SG-032,"检查规则云端 API","Feature","P0","3","BE","E5","SG-030","area:server, type:feature, m:beta","Beta","","- [ ] TDD §5.2.2 全部端点 - [ ] 规则与脚本级联删除 - [ ] order 字段支持拖拽排序",""
SG-033,"测试调度 API","Feature","P0","5","BE","E5","SG-030, SG-032","area:server, type:feature, m:beta","Beta","","- [ ] TDD §5.2.3 全部端点 - [ ] 创建 schedule 时校验 cron 格式 - [ ] 立即执行（`run-now`）触发 BullMQ 任务 - [ ] run 历史分页查询",""
SG-034,"BullMQ vs Inngest 调研","Spike","P2","2","BE","E5","","area:server, type:spike, m:beta","Beta","验证 BullMQ 选型合理性，评估 Inngest / Trigger.dev 等替代方案。","- [ ] 输出对比文档（功能、性能、成本、生态） - [ ] BullMQ POC：实现一个 repeat job - [ ] 给出最终决策与理由",""
SG-035,"BullMQ 任务队列基础设施","Feature","P0","5","BE","E6","SG-003","area:server, area:runner, type:feature, m:beta","Beta","搭建 BullMQ：Redis 连接、Worker、Queue、Schedule、监控。","- [ ] `test-runs` queue + worker - [ ] repeat jobs 支持 cron - [ ] 并发控制（默认 3） - [ ] 失败重试（指数退避） - [ ] 队列深度指标（Prometheus） - [ ] Bull Board UI（开发环境）",""
SG-036,"Playwright Runner 容器","Feature","P0","8","BE","E6","SG-035","area:runner, type:feature, m:beta","Beta","实现 Playwright Runner：Docker 镜像、Worker 消费任务、启动浏览器、执行检测。","- [ ] `Dockerfile.runner` 基于 `mcr.microsoft.com/playwright` - [ ] Worker 启动 chromium + 监听 jobs - [ ] 注入错误捕获脚本 - [ ] `page.goto` + `addScriptTag` 注入用户脚本 - [ ] 执行 SDK.check() 序列 - [ ] 收集结果 + 截图 + DOM 快照 - [ ] 资源控制：context 30s 超时 + 强制 close - [ ] 单 Runner 最多 3 context","参考 TDD §3.2.3 Runner 设计。"
SG-037,"测试报告持久化","Feature","P0","3","BE","E6","SG-033, SG-036","area:server, type:feature, m:beta","Beta","","- [ ] `test_runs` 表写入完成 - [ ] 截图上传到 S3 - [ ] DOM 快照上传到 S3 - [ ] 失败时按告警策略触发通知 - [ ] 历史归档任务（月度）",""
SG-038,"测试报告 UI","Feature","P0","5","FE","E6","SG-024, SG-037","area:options, type:feature, m:beta","Beta","实现测试报告页（W7）：截图、规则结果、错误日志、网络请求、DOM 快照。","- [ ] 顶部摘要：状态、耗时、URL、模式 - [ ] 截图缩略图（点击放大） - [ ] 检查结果列表（pass/fail + 详情） - [ ] 错误日志面板 - [ ] 网络请求列表（可展开） - [ ] ""下载报告"" / ""重跑"" 按钮","参考 Wireframes W7。"
SG-039,"告警与通知 API","Feature","P0","5","BE","E6","SG-033, SG-037","area:server, area:notify, type:feature, m:beta","Beta","","- [ ] `alerts` 表写入（失败 / 恢复 / 降级） - [ ] TDD §5.2.4 端点 - [ ] 指数退避策略执行 - [ ] 静默窗口检查 - [ ] 告警合并逻辑",""
SG-040,"通知中心（多通道适配器）","Feature","P0","5","FS","E7","SG-039","area:notify, type:feature, m:beta","Beta","实现通知分发中心：浏览器通知、邮件、Webhook 等通道的统一抽象。","- [ ] `NotificationChannel` 接口 - [ ] `BrowserNotificationChannel`（插件端） - [ ] `EmailChannel`（服务端） - [ ] `WebhookChannel`（服务端） - [ ] `dispatcher.ts` 路由到正确通道 - [ ] 失败重试（指数退避 3 次）","参考 TDD §3.2.4 通知服务。"
SG-041,"Webhook 适配器（飞书/钉钉/Slack/通用）","Feature","P0","5","FS","E7","SG-040","area:notify, type:feature, m:beta","Beta","","- [ ] 4 套模板：飞书、钉钉、Slack、通用 - [ ] 用户选择模板后自动渲染 - [ ] `POST /v1/channels/:id/test` 发送测试消息 - [ ] HMAC 签名支持 - [ ] 集成测试每个通道","参考 TDD §5.3 模板定义。"
SG-042,"邮件通知（Nodemailer）","Feature","P0","3","BE","E7","SG-040","area:notify, type:feature, m:beta","Beta","","- [ ] SMTP 配置（支持主流供应商） - [ ] HTML 邮件模板 - [ ] 每日 09:00 摘要邮件 - [ ] 失败立即邮件 - [ ] 退订链接",""
SG-043,"GitHub Actions 集成","Feature","P0","5","FS","E7","SG-037, SG-039","area:plugin, type:feature, m:beta","Beta","实现 GH Actions 集成：用户生成 YAML 模板 → 仓库运行 → 回传结果。","- [ ] Options 页 W13 向导：4 步流程 - [ ] 生成 `.github/workflows/scriptguard.yml` - [ ] 公开 `scriptguard/action@v1` Docker action - [ ] Action 接收 SG_TOKEN + script-id - [ ] 结果通过 `POST /v1/webhook/gh-actions/:token` 回传 - [ ] 签名验证 - [ ] 文档完整",""
SG-044,"告警中心 UI","Feature","P0","5","FE","E8","SG-024, SG-039","area:options, type:feature, m:beta","Beta","实现告警中心页面（W8）：告警列表、级别筛选、静默规则。","- [ ] 4 个级别 Tab - [ ] 告警卡片（级别 + 时间 + 脚本 + 操作） - [ ] ""确认告警"" 按钮 - [ ] ""静默 1 小时"" 按钮 - [ ] 静默规则配置","参考 Wireframes W8。"
SG-045,"设置页面（通知 + 通用）","Feature","P0","8","FE","E8","SG-024","area:options, type:feature, m:beta","Beta","实现设置页（W9 + W10）：通知渠道、检测设置、存储、主题、快捷键、调试。","- [ ] W9 通知设置：9 种渠道开关 + Webhook 配置弹窗 - [ ] W10 通用设置：检测频率、存储、主题、快捷键 - [ ] 配置保存到 chrome.storage - [ ] 修改即时生效","参考 Wireframes W9 + W10。"
SG-046,"选择器采集助手","Feature","P1","5","FE","E8","SG-027","area:options, type:feature, m:beta","Beta","实现""在页面上选择""功能（W14）：点选元素生成稳定选择器。","- [ ] 激活选择模式后悬停高亮元素 - [ ] 点击后生成选择器 - [ ] 按 9 级优先级降级 - [ ] 稳定性评分（0-100） - [ ] 多候选展示 - [ ] 验证匹配数量 - [ ] ""确认选择"" 保存为规则","参考 Wireframes W14 + TDD §3.2.2 选择器生成器算法。"
SG-047,"关键流程 E2E 自动化","Test","P0","8","QA","E9","SG-024, SG-027, SG-038","type:test, m:ga","GA","用 Playwright 编写 5 个关键流程的 E2E 测试。","- [ ] 流程 1：安装插件 → 创建脚本 → 配置规则 → 访问目标页 → 浮层弹出 - [ ] 流程 2：定时任务 → 云端执行 → 报告生成 - [ ] 流程 3：失败 → 通知 → 告警中心 → 确认 - [ ] 流程 4：Tampermonkey 导入 .user.js - [ ] 流程 5：GitHub Actions 触发 + 回传 - [ ] CI 中每次 PR 跑通","参考 TDD §10.4 E2E 测试。"
SG-048,"性能优化（Bundle 与首屏）","Chore","P1","5","FE","E9","SG-024, SG-027","area:plugin, type:chore, m:ga","GA","优化插件 Bundle 体积与首屏加载时间。","- [ ] Background SW < 50KB - [ ] Content Script < 30KB - [ ] Popup 首屏 < 500ms - [ ] Options 首屏 < 1s - [ ] 路由懒加载 - [ ] 重型库按需加载（Monaco）","参考 TDD §8 性能优化。"
SG-049,"跨浏览器兼容性测试","Test","P1","3","QA","E9","SG-002","type:test, m:ga","GA","","- [ ] Chrome 120+ 全部通过 - [ ] Edge 120+ 全部通过 - [ ] Firefox 115+ 全部通过 - [ ] Firefox 兼容性修复（如 `browser.*` vs `chrome.*`） - [ ] 隐身模式测试 - [ ] 多标签页并发测试",""
SG-050,"文档站（v1.0）","Docs","P1","5","DS + FE","E9","","type:docs, m:ga","GA","搭建 Vercel + Fumadocs 文档站，覆盖快速开始、用户指南、API、SDK、FAQ。","- [ ] 快速开始（5 分钟跑通） - [ ] 用户指南（所有功能） - [ ] API 文档（自动从 OpenAPI 生成） - [ ] SDK 文档 - [ ] FAQ - [ ] 中英双语 - [ ] 搜索功能",""
SG-051,"Chrome Web Store 上架","Feature","P0","3","DO + DS","E9","SG-002, SG-008","area:infra, type:feature, m:ga","GA","","- [ ] Chrome Web Store 开发者账号注册 - [ ] 商品详情：标题、描述、截图（1280×800，5 张） - [ ] 隐私政策页面 - [ ] 权限说明文档 - [ ] 一次性付费 $5 注册费 - [ ] 提交审核 - [ ] 通过审核 → 公开",""
SG-052,"服务端生产部署","Chore","P0","5","DO","E9","SG-003, SG-005, SG-009","area:infra, type:chore, m:ga","GA","部署 Fastify + PG + Redis + Runner 到生产环境（Hetzner / DigitalOcean）。","- [ ] 生产环境机器初始化 - [ ] Docker Compose 部署所有服务 - [ ] Nginx 反代 + SSL（Let's Encrypt） - [ ] 数据库备份策略（每日） - [ ] 监控接入（Sentry + Grafana） - [ ] 健康检查 + 自动重启 - [ ] 域名 + DNS 配置",""
SG-053,"营销官网","Feature","P1","5","DS","E9","SG-008","area:design, type:feature, m:ga","GA","","- [ ] 首页（Hero + 特性 + 用户场景 + 截图 + 价格 + FAQ） - [ ] 定价页 - [ ] 文档入口 - [ ] 博客模板 - [ ] SEO 优化 - [ ] GA / Plausible 统计",""
SG-054,"4 类补充规则执行器（v1.0 收口）","Feature","P1","5","FE","E9","SG-017","area:plugin, type:feature, m:ga","GA","补齐剩余 4 类规则：`selector_clickable`、`selector_inputable`、`url_match`、`network_status`。","- [ ] 4 个执行器实现 - [ ] 单元测试覆盖率 ≥ 85% - [ ] 与现有 6 类无缝集成 - [ ] 文档更新",""
SG-055,"Tampermonkey 协同与导入","Feature","P1","5","FE","E9","SG-014, SG-046","area:plugin, type:feature, m:ga","GA","支持从 Tampermonkey 导入 .user.js 文件，解析 `@name`、`@version`、`@match` 等元信息。","- [ ] 拖拽 / 选择 .user.js 文件 - [ ] 解析 Tampermonkey 元信息头 - [ ] 自动填充表单 - [ ] 智能生成基础规则（基于常见模式） - [ ] 跨插件通信检测（`externally_connectable`）","参考 PRD §2.2 F1 脚本管理。"
